county_by_farmsize,county_by_farmsize_heads,livestock,state,status,subtype,iterations
False,,pigeons,23,,dummy,
False,,quail,23,,all,
False,,quail,23,,dummy,
True,True,sheep,23,ignored,all,
True,True,sheep,23,ipf,dummy,40.0
False,,turkeys,23,,all,
False,,turkeys,23,,dummy,
True,True,cattle,24,ignored,all,
True,True,cattle,24,ipf,beef,314.0
True,True,cattle,24,ipf,milk,67.0
True,True,cattle,24,ipf,other,146.0
False,,chukars,24,,all,
False,,chukars,24,,dummy,
False,,ckn-broilers,24,,all,
False,,ckn-broilers,24,,dummy,
True,False,ckn-layers,24,,all,
True,False,ckn-layers,24,,dummy,
False,,ckn-pullets,24,,all,
False,,ckn-pullets,24,,dummy,
False,,ckn-roosters,24,,all,
False,,ckn-roosters,24,,dummy,
False,,ducks,24,,all,
False,,ducks,24,,dummy,
False,,emus,24,,all,
False,,emus,24,,dummy,
False,,geese,24,,all,
False,,geese,24,,dummy,
False,,guineas,24,,all,
False,,guineas,24,,dummy,
True,True,hogs,24,ignored,all,
True,True,hogs,24,ipf,dummy,66.0
False,,ostriches,24,,all,
False,,ostriches,24,,dummy,
False,,peafowl,24,,all,
False,,peafowl,24,,dummy,
False,,pheasants,24,,all,
False,,pheasants,24,,dummy,
False,,pigeons,24,,all,
False,,pigeons,24,,dummy,
False,,poultry-other,24,,all,
False,,poultry-other,24,,dummy,
False,,quail,24,,all,
False,,quail,24,,dummy,
False,,rheas,24,,all,
False,,rheas,24,,dummy,
True,True,sheep,24,ignored,all,
True,True,sheep,24,ipf,dummy,34.0
False,,turkeys,24,,all,
False,,turkeys,24,,dummy,
True,True,cattle,25,ignored,all,
True,True,cattle,25,ipf,beef,13.0
True,True,cattle,25,ipf,milk,20.0
True,True,cattle,25,ipf,other,79.0
False,,chukars,25,,all,
False,,chukars,25,,dummy,
False,,ckn-broilers,25,,all,
False,,ckn-broilers,25,,dummy,
True,False,ckn-layers,25,,all,
True,False,ckn-layers,25,,dummy,
False,,ckn-pullets,25,,all,
False,,ckn-pullets,25,,dummy,
False,,ckn-roosters,25,,all,
False,,ckn-roosters,25,,dummy,
False,,ducks,25,,all,
False,,ducks,25,,dummy,
False,,emus,25,,all,
False,,emus,25,,dummy,
False,,geese,25,,all,
False,,geese,25,,dummy,
False,,guineas,25,,all,
False,,guineas,25,,dummy,
True,True,hogs,25,ignored,all,
True,True,hogs,25,ipf,dummy,86.0
False,,partridges,25,,all,
False,,partridges,25,,dummy,
False,,peafowl,25,,all,
False,,peafowl,25,,dummy,
False,,pheasants,25,,all,
False,,pheasants,25,,dummy,
False,,pigeons,25,,all,
False,,pigeons,25,,dummy,
False,,poultry-other,25,,all,
False,,poultry-other,25,,dummy,
False,,quail,25,,all,
False,,quail,25,,dummy,
True,True,sheep,25,ignored,all,
True,True,sheep,25,ipf,dummy,27.0
False,,turkeys,25,,all,
False,,turkeys,25,,dummy,
True,True,cattle,26,ignored,all,
True,True,cattle,26,ipf,beef,57.0
True,True,cattle,26,ipf,milk,57.0
True,True,cattle,26,ipf,other,69.0
False,,chukars,26,,all,
False,,chukars,26,,dummy,
False,,ckn-broilers,26,,all,
False,,ckn-broilers,26,,dummy,
True,False,ckn-layers,26,,all,
True,False,ckn-layers,26,,dummy,
False,,ckn-pullets,26,,all,
False,,ckn-pullets,26,,dummy,
