status,county_by_farmsize,deficit,diff,farms_by_size,lambda0,tot_farms,tot_heads
no gaps,,,,,,108.0,3022.0
ignored,,,,,,,
no gaps,,,,,,121.0,1858.0
ignored,,,,,,,
no gaps,,,,,,46.0,372.0
ignored,,,,,,,
no gaps,,,,,,11.0,100.0
ignored,,,,,,,
no gaps,,,,,,194.0,6514.0
ignored,,,,,,,
gaps,False,94.0,96.0,False,47.0,13.0,150.0
ignored,,,,,,,
gaps,False,76.0,78.0,False,38.0,6.0,76.0
ignored,,,,,,,
no gaps,,,,,,3.0,75.0
ignored,,,,,,,
no gaps,,,,,,10.0,342.0
ignored,,,,,,,
no gaps,,,,,,11.0,197.0
ignored,,,,,,,
gaps,True,10716.0,10718.0,True,6892.0,457.0,21510.0
ignored,,,,,,,
no gaps,,,,,,32.0,361.0
ignored,,,,,,,
gaps,True,47506.0,47513.0,True,689.2857142857143,7379.0,449249.0
gaps,True,3395.0,3402.0,True,2017.0,549.0,664479.0
no gaps,,,,,,6745.0,1404259.0
ignored,,,,,,,
gaps,False,2780.0,2786.0,False,463.3333333333333,17.0,2985.0
ignored,,,,,,,
gaps,False,349.0,358.0,False,38.77777777777778,350.0,12403.0
ignored,,,,,,,
gaps,False,555862.0,555867.0,True,121571.5,3514.0,638424.0
ignored,,,,,,,
gaps,False,477967.5,477975.5,False,59745.9375,447.0,484453.5
ignored,,,,,,,
gaps,False,12425.0,12435.999999999998,False,1129.5454545454545,503.0,13688.0
ignored,,,,,,,
gaps,False,2296.0,2306.0,False,229.60000000000002,449.0,5611.0
ignored,,,,,,,
gaps,False,29.0,33.999999999999986,False,5.8,25.0,99.0
ignored,,,,,,,
gaps,False,113.0,126.99999999999989,False,8.071428571428571,137.0,589.0
ignored,,,,,,,
gaps,False,86.0,96.0,False,8.600000000000001,142.0,946.0
ignored,,,,,,,
gaps,True,13948.0,13957.0,True,3263.3333333333335,562.0,21157.0
ignored,,,,,,,
gaps,False,799.4666666666666,801.4666666666666,False,399.7333333333333,3.0,799.4666666666666
ignored,,,,,,,
gaps,False,157.0,166.0,False,17.444444444444443,88.0,651.0
ignored,,,,,,,
gaps,False,28233.0,28242.0,False,3137.0,21.0,28359.0
ignored,,,,,,,
gaps,False,1216.0,1224.9999999999998,False,135.11111111111111,36.0,1682.0
ignored,,,,,,,
gaps,False,1099.6153846153845,1100.6153846153845,False,1099.6153846153845,1.0,1099.6153846153845
ignored,,,,,,,
gaps,False,2208.0,2218.000000000001,False,220.8,48.0,2872.0
ignored,,,,,,,
gaps,True,52916.0,52924.0,True,8762.6,1208.0,230681.0
ignored,,,,,,,
gaps,False,330.0,339.0,False,36.666666666666664,297.0,4644.0
ignored,,,,,,,
gaps,True,95021.0,95055.0,True,410.0666666666667,10713.0,331471.0
gaps,True,10038.0,10070.0,True,869.25,607.0,73006.0
gaps,True,607.0,610.0,True,22.333333333333332,10916.0,557563.0
ignored,,,,,,,
gaps,False,34650.0,34659.0,False,3850.0,14.0,42650.0
ignored,,,,,,,
gaps,False,127135.0,127154.0,False,6691.315789473684,546.0,288560.0
ignored,,,,,,,
gaps,False,6588076.0,6588087.999999999,True,1181192.4,4496.0,7278610.0
ignored,,,,,,,
gaps,False,685484.0,685508.9999999999,False,27419.36,680.0,700533.0
ignored,,,,,,,
gaps,False,9433.0,9451.000000000002,False,524.0555555555557,687.0,12744.0
ignored,,,,,,,
gaps,False,332.0,345.0,False,25.538461538461537,773.0,16515.0
ignored,,,,,,,
gaps,False,16.0,21.0,False,3.2,19.0,124.0
ignored,,,,,,,
gaps,False,254.0,283.0,False,8.758620689655173,223.0,1311.0
ignored,,,,,,,
gaps,False,296.0,318.0,False,13.454545454545455,391.0,2992.0
ignored,,,,,,,
gaps,True,428209.0,428231.0,True,24994.1875,1678.0,5204135.0
ignored,,,,,,,
gaps,False,158.75,159.75,False,158.75,1.0,158.75
ignored,,,,,,,
gaps,False,595.0,628.0,False,18.03030303030303,159.0,1274.0
ignored,,,,,,,
gaps,False,64080.0,64099.0,False,3372.6315789473683,46.0,69504.0
ignored,,,,,,,
gaps,False,2242.0,2255.0,False,172.46153846153845,36.0,3394.0
ignored,,,,,,,
gaps,False,1099.6153846153845,1100.6153846153845,False,1099.6153846153845,1.0,1099.6153846153845
ignored,,,,,,,
gaps,False,3311.0,3323.9999999999927,False,254.6923076923077,50.0,35808.0
ignored,,,,,,,
gaps,False,13.555555555555555,14.555555555555555,False,13.555555555555555,1.0,13.555555555555555
ignored,,,,,,,
gaps,True,1621.0,1630.0,True,216.5,1612.0,50943.0
ignored,,,,,,,
gaps,False,199442.0,199474.0,False,6232.5625,437.0,986321.0
ignored,,,,,,,
gaps,True,44705.0,44733.0,True,238.9230769230769,9990.0,177730.0
gaps,True,47609.0,47638.00000000003,True,5667.142857142858,1521.0,183176.0
no gaps,,,,,,11391.0,409142.0
ignored,,,,,,,
gaps,False,340.0,343.0,False,113.33333333333334,5.0,340.0
ignored,,,,,,,
gaps,False,409898.0,409917.0,False,21573.57894736842,1063.0,8174313.0
ignored,,,,,,,
gaps,False,22223160.0,22223173.999999993,True,1697926.6666666665,6009.0,35924482.0
ignored,,,,,,,
gaps,False,7816748.0,7816771.0,False,339858.60869565216,821.0,10859772.0
ignored,,,,,,,
gaps,False,5142.0,5161.0,False,270.63157894736844,681.0,113041.0
ignored,,,,,,,
gaps,False,11032.0,11049.999999999767,False,612.8888888888889,854.0,1719865.0
ignored,,,,,,,
gaps,False,16.0,20.0,False,4.0,19.0,54.0
ignored,,,,,,,
gaps,False,241.0,269.99999999999955,False,8.310344827586208,199.0,3324.0
ignored,,,,,,,
gaps,False,263.0,289.00000000000045,False,10.115384615384615,301.0,2125.0
ignored,,,,,,,
gaps,True,380898.0,380913.0,True,32547.09090909091,2150.0,4372121.0
ignored,,,,,,,
gaps,False,158.75,159.75,False,158.75,2.0,158.75
ignored,,,,,,,
gaps,False,317.0,347.0,False,10.566666666666666,152.0,1423.0
ignored,,,,,,,
gaps,False,2455.0,2464.0,False,272.77777777777777,49.0,3620.0
ignored,,,,,,,
